Timestamp,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5
12/11/2016 14:29:21,Mind of mine,Life of pablo,Anti,25,Johanna
12/5/2016 15:08:28,"car seat headrest, teens of denial","whitney, light upon the lake","big thief, masterpiece"," Die Antwoord, Mount Ninji and da Nice Time Kid","Bon Iver, 22, A Million"
12/5/2016 17:00:00,"David Bowie, Blackstar","Leonard Cohen, You Want It Darker","Tribe Called Quest,  We Got It From Here..."," Sturgill Simpson,  A Sailors Guide to the World","Wilco,  Schmilco"
12/6/2016 12:16:43,"Gloss, Trans Day of Revenge","Big Eyes, Stake My Claim","Fat Shuggy, Revada Casah Enoy Reve","-1, self titled","The Muckrakers, Dirty Water"
12/10/2016 1:21:52,"""Levaguiã Terê"" - Vitor Araújo","""22, a Million"" - Bon Iver","""★(Blackstar)""- David Bowie","""Emily's D+Evolution"" -Esperanza Spalding","""Sometimes I sit and Think, Sometimes I Just Sit"" -Courtney Barnett"
12/6/2016 8:50:56,"""Wrong Crowd,"" Tom Odell","""Cleopatra,"" The Lumineers""","""Popstar: Never Stop Never Stopping,"" The Lonely Island","""True Sadness,"" The Avett Brothers","""Cashmere,"" Swet Shop Boys"
12/11/2016 14:10:24,Glory Days by Little Mix,Mind Of Mine by ZAYN,25 by Adele,1989 by Taylor Swift,Formation by Beyoncè
12/11/2016 14:10:46,Glory Days by Little Mix,Mind Of Mine by ZAYN,25 by Adele,1989 by Taylor Swift,Formation by Beyoncè
12/11/2016 14:10:53,Glory Days by Little Mix,Mind Of Mine by ZAYN,25 by Adele,1989 by Taylor Swift,Formation by Beyoncè
12/6/2016 1:16:19,"22, A Million",Jolene,Blonde,"22, A Million ","22, A Million "
12/11/2016 12:23:23,Mind of mine,limonade,joanne,24/7,view
12/11/2016 15:40:42,"One Direction,Made In The AM ","Zayn,Mind of Mine","Sia,This is Acting","5 Seconds Of Summer,Sounds good feels good","Taylor Swift,1989"
12/5/2016 15:23:29,"ZAYN, Mind of Mine","Beyonce, Lemonade","Bruno Mars, 24k Magic","5th Harmony, 7/27","Solange, A sit at the table"
12/5/2016 17:05:50,"Zayn, mind of mine","Beyonce, lemonade","Rihanna, anti ","7/27, fifth harmony",
12/11/2016 11:05:01,Mind of mine,views,lemonade,7/7,purpose
12/5/2016 13:11:09,"Solid States, The Posies","Bon Iver, 22 a Million","The Monkees, Good Times!","A Moon Shaped Pool, Radiohead","Bomba Estereo, Amanecer"
12/8/2016 15:45:07,"Blackstar, David Bowie","We're All Gonna Die, Dawes","A Moon Shaped Pool, Radiohead","A Sailor's Guide to Earth, Sturgill Simpson","Pearls to Swine, Adam Torres"
12/5/2016 13:27:53,"Beyonce, Lemonade","Solange, A Seat at the Table","Lizzo, Coconut Oil","A Tribe Calle Quest, We got it from Here... Thank You 4 Your service","Tegan and Sara, Love you to Death"
12/6/2016 14:10:03,david bowie,Car seat headrest,angel olsen,a tribe called quest,radiohead
12/12/2016 9:19:43,"Car Seat Headrest, Teens of Denial","Mistki, Puberty 2","David Bowie, Blackstar",A Tribe Called Quest,"Solange, A seat at the table"
12/10/2016 22:26:14,"Bon Iver 22, a million",Mavis Staples Livin' on a High Note,Carrie Newcomer The Beautiful Not Yet,A Tribe Called Quest  We Got it From Here,Chance the Rapper  Coloring Book
12/5/2016 19:00:25,car seat headrest - teens of denial,drive-by truckers - american band,Rihanna - Anti,a tribe called quest - we got it from here,david bowie - blackstar
12/6/2016 21:49:44,Anderson .Paak - Malibu,Damien Jurado - Visions of us on the land,Kaytranada - 99.9%,A Tribe Called Quest - We got it from you / thank you for your service,Walter Martin - Art & Leisure
12/5/2016 14:48:14,"Swet Shop Boys, Cashmere","Bruno Mars, 24ct Gold","Various, Hamilton Mixtape","A Tribe called Quest , we got it from here","Englistan, RizMC"
12/6/2016 14:00:21,"Frank Ocean, Blonde","Kaytranada, 99.9%","Radiohead, A Moon Shaped Pool","A Tribe Called Quest,  We Got It From Here... Thank You 4 Your service","Jim James, Eternally Even"
12/6/2016 7:07:46,"Frank Ocean, Blonde","Radiohead, A Moon Shaped Pool","David Bowie, Blackstar","A Tribe Called Quest, Thank You 4 Your Service","Car Seat Headrest, Teens of Denial"
12/9/2016 23:43:43,"Radiohead, A Moon Shaped Pool","Bon Iver, 22, A Million","Anderson .Paak, Malibu","A Tribe Called Quest, We Got It From Here","Wilco, Scmilco "
12/5/2016 15:29:59,"Radiohead, A Moon Shaped Pool ","The Avalanches, Wildflower","BADBADNOTGOOD, IV","A Tribe Called Quest, We Got It From Here","Amber Arcades, Fading Lines"
12/5/2016 16:53:25,"David Bowie, Blackstar","Wilco, Schmilco","Brian Eno, The Ship","A Tribe Called Quest, We Got It From Here","Kendrick Lamar, Untitled"
12/5/2016 13:29:40,"Big Thief, Masterpiece","Nathaniel Rateliff & the Night Sweats, self titled","Car seat head rest, teens of denial ","A tribe called quest, we got it from here","Angel Olsen, my woman"
12/5/2016 14:22:12,"Bobby Rush, Porcupine Meat","Janiva Magness, Love Wins Again","David Bowie, Black Star","A Tribe Called Quest, We Got it From Here","Margo Price, Midwest Farmer's Daughter"
12/5/2016 15:11:28,"Beyonce, Lemonade","Car Seat Headrest, Teens of Denial","DAvid Bowie, Lazarus","A Tribe Called Quest, We got it from here","Margo Price, Midwest Farmers Daughter"
